character,level,strokes,grade,freq,onyomi,kunyomi,meanings
日,N5,4,1,1,ニチ; ジツ,ひ; -び; -か,day; sun; Japan; counter for days
一,N5,1,1,2,イチ; イツ,ひと-; ひと.つ,one; one radical (no.1)
国,N5,8,2,3,コク,くに,country
人,N5,2,1,5,ジン; ニン,ひと; -り; -と,person
年,N5,6,1,6,ネン,とし,year; counter for years
大,N5,3,1,7,ダイ; タイ,おお-; おお.きい; -おお.いに,large; big
十,N5,2,1,8,ジュウ; ジッ; ジュッ,とお; と; そ,ten
二,N5,2,1,9,ニ; ジ,ふた; ふた.つ; ふたたび,two; two radical (no. 7)
本,N5,5,1,10,ホン,もと,book; present; main; origin; true; real; counter for long cylindrical things
中,N5,4,1,11,チュウ,なか; うち; あた.る,in; inside; middle; mean; center
長,N5,8,2,12,チョウ,なが.い; おさ,long; leader; superior; senior
出,N5,5,1,13,シュツ; スイ,で.る; -で; だ.す; -だ.す; い.でる; い.だす,exit; leave; go out; come out; put out; protrude
三,N5,3,1,14,サン; ゾウ,み; み.つ; みっ.つ,three
時,N5,10,2,16,ジ,とき; -どき,time; hour
行,N5,6,2,20,コウ; ギョウ; アン,い.く; ゆ.く; -ゆ.き; -ゆき; -い.き; -いき; おこな.う; おこ.なう,going; journey; carry out; conduct; act; line; row; bank
見,N5,7,1,22,ケン,み.る; み.える; み.せる,see; hopes; chances; idea; opinion; look at; visible
月,N5,4,1,23,ゲツ; ガツ,つき,month; moon
後,N5,9,2,26,ゴ; コウ,のち; うし.ろ; うしろ; あと; おく.れる,behind; back; later
前,N5,9,2,27,ゼン,まえ; -まえ,in front; before
生,N5,5,1,29,セイ; ショウ,い.きる; い.かす; い.ける; う.まれる; うま.れる; う.まれ; うまれ; う.む; お.う; は.える; は.やす; き; なま; なま-; な.る; な.す; む.す; -う,life; genuine; birth
五,N5,4,1,31,ゴ,いつ; いつ.つ,five
間,N5,12,2,33,カン; ケン,あいだ; ま; あい,interval; space
上,N5,3,1,35,ジョウ; ショウ; シャン,うえ; -うえ; うわ-; かみ; あ.げる; -あ.げる; あ.がる; -あ.がる; あ.がり; -あ.がり; のぼ.る; のぼ.り; のぼ.せる; のぼ.す; たてまつ.る,above; up
東,N5,8,2,37,トウ,ひがし,east
四,N5,5,1,47,シ,よ; よ.つ; よっ.つ; よん,four
今,N5,4,2,49,コン; キン,いま,now
金,N5,8,1,53,キン; コン; ゴン,かね; かな-; -がね,gold
