"Grammar Point","Meaning","Formation","Example (Japanese)","Example (Romaji)","Example (English)","JLPT Level"
"A が いちばん～ (A ga ichiban～)","Express the superlative degree; 'the most', 'the best', 'the least'.","Noun + が + いちばん + Adjective/Verb","この中で、寿司が一番好きです。","Kono naka de, sushi ga ichiban suki desu.","Of all these, I like sushi the most.","JLPT N5"
"A。けれども、～B。(A. Keredomo,~ B.)","Used to express a contrast between two statements. It can be translated as 'but' or 'however'.","Statement A + けれども、+ Statement B","今日は晴れている。けれども、寒いです。","Kyou wa harete iru. Keredo mo, samui desu.","It is sunny today. However, it is cold.","JLPT N5"
"A。しかし、～B。 (A. Shikashi, ~B.)","Expresses contrast or contradiction between two clauses; 'A, but B', 'A, however B'.","Sentence A + しかし + Sentence B.","今日は忙しい。しかし、時間があるなら、コーヒーを飲もう。","Kyou wa isogashii. Shikashi, jikan ga aru nara, koohii o nomou.","I'm busy today. However, if I have time, let's have coffee.","JLPT N5"
"A。じゃ、～B。(A. Ja, ~B.)","Indicates a decision or suggestion; 'well then', 'in that case', 'so'.","A: Sentence, B: Sentence (A and B can be any sentence type)","映画は時間がない。じゃ、また今度行こう。","Eiga wa jikan ga nai. Ja, mata kondo ikou.","There's no time for a movie. Well then, let's go another time.","JLPT N5"
"A。それじゃ、～B。(A. Soreja,~B.)","Connect two sentences; 'A, so/in that case, B'","Sentence A + 。それじゃ、 + Sentence B","今日は休みです。それじゃ、映画を観に行きましょう。","Kyou wa yasumi desu. Soreja, eiga wo mi ni ikimashou.","Today is a day off. In that case, let's go watch a movie.","JLPT N5"
"A。それでは、～B。(A. Soredewa,~B.)","Express a change in situation; 'then', 'in that case', 'so'.","A (Statement) + 。それでは、 + B (Follow-up action or statement)","今日は休みだ。それでは、映画を見に行こう。","Kyou wa yasumi da. Sore dewa, eiga wo mi ni ikou.","Today is a day off. In that case, let's go see a movie.","JLPT N5"
"A。 では、～B。 (A. Dewa, ~B)","Indicates a contrast or comparison between A and B; 'As for A, ~B'.","Noun A + では、 + Subject + Predicate B","果物では、リンゴが一番好きです。","Kudamono dewa, ringo ga ichiban suki desu.","As for fruits, apples are my favorite.","JLPT N5"
"A。でも、～B。(A. Demo, ~B)","Express contrast or a change of situation; 'even though A, B', 'although A, B'.","Clause A + でも, ～Clause B","昨日は寒かった。でも、今日は暖かいです。","Kinou wa samukatta. Demo, kyou wa atatakai desu.","Yesterday was cold. However, today it is warm.","JLPT N5"
"Aと Bと どちら～ (A to B to dochira~)","Used to ask which of two alternatives is preferred or to compare two things","Aと Bと どちら + Verb/Adjective/Noun","りんごとみかんとどちらが好きですか。","Ringo to mikan to dochira ga suki desu ka?","Which do you like, apples or oranges?","JLPT N5"
"AとBと どっち〜 (A to B to docchi〜)","Asking which one; 'which', 'A or B'.","AとBと どっち + Verb, AかBか どっち + Verb","コーヒーと紅茶とどっちが好き？","Koohii to koucha to docchi ga suki?","Which do you like, coffee or tea?","JLPT N5"
"A は B が〜 (A wa B ga〜)","Indicates that there is something unique or different about A and describes what is special about it.","A は (Topic) + B が (Characteristic/Feature) + Description/Action","彼女は髪が長いです。","Kanojo wa kami ga nagai desu.","What's special about her is that she has long hair.","JLPT N5"
"A は B より～ (A wa B yori～)","Express a comparison between A and B; 'A is more/less than B'.","A は B より + Adjective","このジュースはあのジュースより甘いです。","Kono juusu wa ano juusu yori amai desu.","This juice is sweeter than that juice.","JLPT N5"
"A より B のほうが～ (A yori B no hou ga ～)","Used to compare two items; 'B is more ～ than A'.","A + より + B + のほうが + Adjective","ピザよりハンバーガーのほうが美味しい。","Piza yori hanbaagaa no hou ga oishii.","Hamburgers are more delicious than pizza.","JLPT N5"
"い-Adjective く + Verb (i-Adjective + ku + Verb)","Used to connect an い-adjective to a verb, modifying the verb.","い-Adjective (-い) + く + Verb","彼は速く走りました。","Kare wa hayaku hashirimashita.","He ran quickly.","JLPT N5"
"い-Adjective く します (i-Adjective ku shimasu)","Change an い-adjective into a verb; 'to make', 'to become'.","い-Adjective (remove い) + くします","部屋を明るくします。","Heya wo akaruku shimasu.","I will make the room brighter.","JLPT N5"
"い-Adjective く ないます (i-Adjective ku naimasu)","Change an い-adjective into a negative polite form.","い-Adjective (remove い) + くない + ます","このピザは美味しくないです。","Kono piza wa oishiku nai desu.","This pizza is not delicious.","JLPT N5"
"い-Adjective て (i-Adjective + te~)","Used to connect two or more い-adjectives to describe something.","い-Adjective (remove い) + くて + い-Adjective","このリンゴは甘くて美味しいです。","Kono ringo wa amakute oishii desu.","This apple is sweet and delicious.","JLPT N5"
"な-Adjective く Verb (na-Adjective + ku + Verb)","Turn a な-adjective into an adverb to modify a verb.","な-Adjective (without な) + く + Verb","彼は静かく話す。","Kare wa shizuka ku hanasu.","He speaks quietly.","JLPT N5"
