word,reading,meanings,level,example_ja,example_en
アイスクリーム,,ice cream,N3,アイスクリームが好きだ。,I like ice cream.
あいにく,,unfortunately; Sorry; but....,N3,あいにく話中です。,I'm afraid the line is busy.
アイロン,,(electric) iron,N3,アイロンがけ、大っ嫌い。,I hate ironing.
アウト,,out,N3,テイクアウトしよう。,Let's get takeout.
あした,,tomorrow,N3,またあしたね。,See you tomorrow!
あちこち,,here and there,N3,あちこち痒いよ。,I feel itchy everywhere.
あっ,,Ah!; Oh!,N3,何かあった？,Anything new?
あと,,(1) trace; tracks; (2) remains; ruins; (3) scar,N3,あと一息だ。,We're almost there.
あらゆる,,all; every,N3,あらゆる機会を利用せよ。,You must avail yourself of every opportunity.
ありがとう,,(conj; exp; int) Thank you,N3,ありがとう！,Thank you!
あるいは,,or; possibly,N3,,
アルバム,,album,N3,棚にアルバムがある。,There is an album on the shelf.
あんなに,,to that extent; to that degree,N3,,
あんまり,,not very; not much; remainder; rest,N3,あんまり無理するなよ。,Don't overdo it.
いい,,good,N3,運がいいね。,It's a godsend.
いえ,いえ,TODO same as いいえ?,N3,いえ、結構です。,"No, thank you."
いけない,,must not do; bad; wrong; not good,N3,いけない人！,You're bad.
いずれ,,where; which; who,N3,いずれは死ぬんだよ。,We'll die sooner or later.
いたずら,,tease; prank; trick; practical joke,N3,彼はいたずら好きだ。,He likes to be mischievous.
いただきます,,expression of gratitude before meals,N3,これをいただきます。,I'll take this.
いち,,market; fair,N3,傷ついちゃった？,Are you hurt?
いつか,,sometime; someday; one day,N3,旅行はいつから？,When do you start on your trip?
いつでも,,(at) any time; always; at all times; never (neg),N3,いつでも来て。,Come anytime.
いつまでも,,forever; for good; eternally; as long as one likes; indefinitely,N3,いつまでもお幸せに！,I wish you a long and happy married life.
いつも,いつも,always; usually; every time; never (with neg. verb),N3,丘はいつも緑だ。,The hill is always green.
いらいら,,getting nervous; irritation,N3,本当にいらいらします。,It really gets on my nerves.
いらっしゃい,,welcome,N3,いらっしゃい。,Welcome.
いわゆる,,the so-called; so to speak,N3,彼女はいわゆる天才だ。,She is what is called a genius.
インク,,ink,N3,彼女はインクで書いた。,She wrote in ink.
ウイスキー,,whisky,N3,このウイスキーはどう。,How do you like this whisky?
うがい,,gargle; rinse mouth,N3,うがいはしたの？,Have you gargled?
うなる,,to groan; to moan,N3,この先どうなるの。,What will come?
うまい,うまい,delicious,N3,料理うまいね。,"You are a good cook, aren't you?"
うるさい,,noisy; loud; fussy,N3,もううるさいな！,Shut up already!
うん,（感）,fortune; luck,N3,うん、君は？,Fine. And you?
エネルギー,,(n) energy (de: Energie),N3,怒りはエネルギー。,Anger is an energy.
エンジン,,engine,N3,エンジンを止めろ！,Stop the engine!
オーバー,,(1) overcoat; (2) over,N3,彼はオーバーを脱いだ。,He took off his overcoat.
おじいさん,,grandfather; male senior-citizen,N3,おじいさんの世話をする。,I take care of my grandfather.
