character,level,strokes,grade,freq,onyomi,kunyomi,meanings
会,N4,6,2,4,カイ; エ,あ.う; あ.わせる; あつ.まる,meeting; meet; party; association; interview; join
同,N4,6,2,15,ドウ,おな.じ,same; agree; equal
事,N4,8,3,18,ジ; ズ,こと; つか.う; つか.える,matter; thing; fact; business; reason; possibly
自,N4,6,2,19,ジ; シ,みずか.ら; おの.ずから; おの.ずと,oneself
社,N4,7,2,21,シャ,やしろ,company; firm; office; association; shrine
発,N4,9,3,32,ハツ; ホツ,た.つ; あば.く; おこ.る; つか.わす; はな.つ,departure; discharge; publish; emit; start from; disclose; counter for gunshots
者,N4,8,3,38,シャ,もの,someone; person
地,N4,6,2,40,チ; ジ,,ground; earth
業,N4,13,3,43,ギョウ; ゴウ,わざ,business; vocation; arts; performance
方,N4,4,2,46,ホウ,かた; -かた; -がた,direction; person; alternative
新,N4,13,2,51,シン,あたら.しい; あら.た; あら-; にい-,new
場,N4,12,2,52,ジョウ; チョウ,ば,location; place
員,N4,10,3,54,イン,,employee; member; number; the one in charge
立,N4,5,1,58,リツ; リュウ; リットル,た.つ; -た.つ; た.ち-; た.てる; -た.てる; た.て-; たて-; -た.て; -だ.て; -だ.てる,stand up; rise; set up; erect
開,N4,12,3,59,カイ,ひら.く; ひら.き; -びら.き; ひら.ける; あ.く; あ.ける,open; unfold; unseal
手,N4,4,1,60,シュ; ズ,て; て-; -て; た-,hand
力,N4,2,1,62,リョク; リキ; リイ,ちから,power; strength; strong; strain; bear up; exert
問,N4,11,3,64,モン,と.う; と.い; とん,question; ask; problem
代,N4,5,3,66,ダイ; タイ,か.わる; かわ.る; かわ.り; か.わり; -がわ.り; -が.わり; か.える; よ; しろ,"substitute; change; convert; replace; period; age; counter for decades of ages, eras, etc.; generation; charge; rate; fee"
明,N4,8,2,67,メイ; ミョウ; ミン,あ.かり; あか.るい; あか.るむ; あか.らむ; あき.らか; あ.ける; -あ.け; あ.く; あ.くる; あ.かす,bright; light
動,N4,11,3,73,ドウ,うご.く; うご.かす,move; motion; change; confusion; shift; shake
京,N4,8,2,74,キョウ; ケイ; キン,みやこ,capital; 10**16
