"Grammar Point","Meaning","Formation","Example (Japanese)","Example (Romaji)","Example (English)","JLPT Level"
"A その上 B (A sono ue B)","Used to express 'in addition to', 'besides', or 'furthermore' when adding information or making a suggestion.","A [sentence/clause] + その上 + B [sentence/clause]","彼は頭が良い。その上、スポーツも得意だ。","Kare wa atama ga ii. Sono ue, supootsu mo tokui da.","He is smart. In addition, he is also good at sports.","JLPT N3"
"～うちに (〜uchi ni)","Express 'while', 'before', or 'during' a certain condition or situation.","Verb-てform + いる + うちに, い-Adjective + い + うちに, な-Adjective + な + うちに","若いうちに、いろいろな経験をしておくことが大切です。","Wakai uchi ni, iroiro na keiken wo shite oku koto ga taisetsu desu.","It is important to have various experiences while you are young.","JLPT N3"
"～うとした (〜uto shita)","Express an action someone tried to do but couldn't; 'tried to', 'attempted to'.","Verb-う stem + とした","電話に出ようとしたが、相手は切ってしまった。","Denwa ni deyou to shita ga, aite wa kitte shimatta.","I tried to answer the phone, but the other person hung up.","JLPT N3"
"～おかげで (〜okagede)","Expresses gratitude or shows a positive result due to a certain factor; 'thanks to', 'because of'.","Verb-casual + おかげで, い-Adjective + おかげで, な-Adjective + だおかげで, Noun + のおかげで","お母さんのおかげで、私は元気になりました。","Okaasan no okagede, watashi wa genki ni narimashita.","Thanks to my mother, I became healthy.","JLPT N3"
"～かけ (〜kake)","Expresses the meaning of being in the middle of doing something or of something being partway done.","Verb-ますstem + かけ","彼は食事を食べかけです。","Kare wa shokuji wo tabekake desu.","He is in the middle of eating his meal.","JLPT N3"
"～かなあ (〜kanaa)","Expressing uncertainty or a mild wish; 'I wonder', 'maybe'.","Verb-casual + かなあ, い-Adjective + かなあ, な-Adjective + だかなあ, Noun + だかなあ","明日晴れるかなあ。","Ashita hareru kanaa.","I wonder if it will be sunny tomorrow.","JLPT N3"
"～がらないで (〜ga ranai de)","Express 'without doing ~' or 'without ~ing'.","Verb-ない-form + で","会わないでその電話をかけました。","Awanai de sono denwa wo kakemashita.","I made the phone call without meeting them.","JLPT N3"
"～から～にかけて (〜kara 〜ni kakete)","Expresses a range of something, such as time or space; 'from...to', 'between'","Noun (time, place, or measure) + から + Noun (time, place or measure) + にかけて","午前８時から午後５時にかけて働いています。","Gozen hachiji kara gogo goji ni kakete hataraiteru.","I work from 8 am to 5 pm.","JLPT N3"
"～かわりに (〜kawari ni)","In place of; instead of; as a substitute for.","Verb-casual + かわりに, い-Adjective + かわりに, な-Adjective + だかわりに, Noun + だかわりに","映画を見るかわりに、本を読んだ。","Eiga wo miru kawari ni, hon wo yonda.","Instead of watching a movie, I read a book.","JLPT N3"
"～きり (〜kiri)","Expresses the idea of 'only', 'since', or 'after'.","Verb-てform + きり, Verb-past + きり, Noun + きり","彼は出かけたきり帰ってきません。","Kare wa dekaketa kiri kaette kimasen.","He went out and hasn't come back since.","JLPT N3"
